П’ятниця,п’ятниця
Оголошення,оголошення
про,про
створення,створення
у,у
Верховній,верховній
Раді,раді
України,Україна
восьмого,восьмий
скликання,скликання
міжфракційного,міжфракційний
депутатського,депутатський
об’єднання,об’єднання
“,“
Захист,захист
прав,право
дітей,дитина
—,—
пріоритет,пріоритет
держави,держава
”,”
2,2
“,“
Година,година
запитань,запитання
до,до
Уряду,уряд
”,”
щодо,щодо
забезпечення,забезпечення
енергетичними,енергетичний
ресурсами,ресурс
національної,національний
економіки,економіка
та,та
формування,формування
тарифів,тариф
для,для
споживачів,споживач
3,3
доповідь,доповідь
заступника,заступника
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
України,Україна
Светеліка,светеліка
О,О.
Д,Д.
4,4
доповідь,доповідь
міністра,міністр
соціальної,соціальний
політики,політика
Україн,україн
и,и
Розенка,розенка
П,П.
В,в
11,11
відповіді,відповідь
на,на
запитання,запитання
народних,народний
депутатів,депутат
України,Україна
15,15
Звернення,звернення
народного,народний
депутата,депутат
України,Україна
Найєма,найєм
М,М.
М,М.
з,з
приводу,привід
образи,образи
журналіста,журналіст
Андрушка,андрушка
С,С.
3,3
7,7
Оголошення,оголошення
депутатських,депутатський
запитів,запит
38,38
43,43
Прийняття,прийняття
рішень,рішення
про,про
підтримку,підтримка
депута,депута
тських,тськи
запитів,запит
до,до
Президента,президент
України,Україна
38,38
Голосування,голосування
про,про
направлення,направлення
депутатських,депутатський
запитів,запит
до,до
Президента,президент
України,Україна
40,40
Виступи,виступ
депутатів,депутат
з,з
різних,різний
питань,питання
60,60
Заяви,заява
народних,народний
депутатів,депутат
України,Україна
щодо,щодо
голосування,голосування
99,99
Результати,результат
поіменної,поіменна
реєстрації,реєстрація
Результати,результат
поіменного,поіменний
голосування,голосування
2,2
ЗАСІДАННЯ,засідання
ДВАДЦЯТЬ,двадцять
ПЕРШЕ,перще
Сесійний,сесійний
зал,зал
Верховної,верховний
Р,р
ади,ади
України,Україна
10,10
година,година
Веде,вести
засідання,засідання
Голова,голова
Верховної,верховний
Ради,рада
України,Україна
ГРОЙСМАН,грожсман
В,в
Б,Б
ГОЛОВУЮЧИЙ,головуючий
Доброго,добрий
ранку,ранок
шановні,шановня
колеги,колега
народні,народний
депутати,депутат
Розпочинаємо,розпочина
наше,наш
ранкове,ранкове
засідання,засідання
Перед,перед
тим,те
як,як
провести,провести
реєстрацію,реєстрація
народних,народний
депутатів,депутат
я,я
надаю,нада
слово,слово
шановні,шановня
колеги,колега
Першому,перший
заступнику,заступник
Голови,голова
Верховної,верховний
Ради,рада
для,для
оголо,оголо
шень,шень
Будь,бути
ласка,ласка
Андрію,Андрій
Володимировичу,володимирович
ПАРУБІЙ,парубій
А,а
В,в
Перший,перший
заступник,заступник
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
“,“
На,на
родний,родний
фронт,фронт
”,”
Доброго,добрий
ранку,ранок
шановні,шановня
колеги,колега
Перш,перш
за,за
все,все
хочу,хотіти
запросити,запросити
всіх,весь
депутатів,депутат
полишати,полишат
кулуари,кулуар
заходити,заходити
в,в
зал,зал
займати,займат
св,св.
ої,ої
робочі,робоча
місця,місце
і,і
готуватися,готуватися
до,до
реєстрації,реєстрація
А,а
тепер,тепер
оголошення,оголошення
Повідомляю,повідомля
про,про
створення,створення
у,у
Верховній,верховній
Раді,раді
України,Україна
вось,вось
мого,мій
скликання,скликання
міжфракційного,міжфракційний
депутатського,депутатський
об’єднання,об’єднання
“,“
Захист,захист
прав,право
дітей,дитина
—,—
пріоритет,пріоритет
держави,держава
”,”
Головою,голова
міжфракційного,міжфракційний
депу,депу
татського,татський
об’єднання,об’єднання
“,“
Захист,захист
прав,право
дітей,дитина
—,—
пріоритет,пріоритет
держави,держава
”,”
обрано,обрано
народного,народний
депутата,депутат
України,Україна
Павленка,павленка
Юрія,юрія
Олексійовича,Олексійович
Також,також
хочу,хотіти
п,п.
овідомити,овідомити
про,про
те,те
що,що
на,на
третьому,третій
поверсі,поверх
в,в
кулуарах,кулуар
приміщення,приміщення
Верховної,верховний
Ради,рада
розміщена,розміщена
виставка,виставка
ікон,ікона
намальованих,намальований
на,на
ящиках,ящик
від,від
патронів,патрон
у,у
на,на
йгарячіших,йгарячіший
точках,точка
пе,пе
редової,редова
—,—
в,в
Пісках,пісок
та,та
Дебальцевому,дебальцеве
Сьогодні,сьогодні
останній,останній
день,день
виставки,виставка
Прошу,прош
всіх,весь
хто,хто
має,мати
та,та
ке,ке
переконання,переконання
придбати,придбати
ікони,ікон
Кошти,кошти
підуть,підуть
на,на
потреби,потреби
першого,перший
добровольчого,добровольче
мобільного,мобільний
шпи,шпи
талю,таля
імені,ім’я
Миколи,Микола
Пирогова,пирогова
який,який
надає,надає
доп,доп
омогу,омога
військовим,військовий
та,та
цивільним,цивільний
у,у
зоні,зона
проведення,проведення
АТО,АТО
3,3
Ще,ще
раз,раз
запрошую,запрошуй
депутатів,депутат
заходити,заходити
в,в
зал,зал
Прошу,прош
голів,голова
фракцій,фракція
як,як
м,м
и,и
й,й
домовлялися,домовлялися
змінити,змінити
роботу,робота
Верховної,верховний
Ради,рада
на,на
якісну,якісний
працювати,працювати
в,в
залі,зал
Отже,отже
прошу,просити
заходити,заходити
в,в
зал,зал
для,для
початку,початок
нашої,наш
роботи,робота
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
народні,народний
депутати,депутат
прошу,просити
займати,займат
свої,свій
місця,місце
у,у
сесійній,сесійній
залі,зал
Верховної,верховний
Ради,рада
України,Україна
для,для
реєстрації,реєстрація
і,і
проведення,проведення
пленарного,пленарний
засідання,засідання
Будь,бути
ласка,ласка
прошу,просити
ввімкнути,ввімкнут
систему,система
“,“
Рада,рада
”,”
для,для
реєстрації,реєстрація
У,у
залі,зал
зареєструвалися,зареєструвалися
217,217
депутатів,депутат
Оголошую,оголошуя
ранкове,ранкове
пленарне,пленарне
засідання,засідання
Верховної,верховний
Ради,рада
України,Україна
відкритим,відкритий
Перед,перед
тим,те
як,як
ми,ми
перейдемо,перейдема
до,до
“,“
години,година
запитань,запитання
до,до
Уряду,уряд
”,”
хочу,хотіти
від,від
вашого,ваш
імені,ім’я
шановні,шановня
колеги,колега
народні,народний
депутати,депутат
від,від
себе,себе
особисто,особисто
привітати,привітати
депутатів,депутат
які,який
сьогодні,сьогодні
відзначають,відзначати
день,день
наро,наро
дження,дження
а,а
саме,саме
Юрія,юрія
Олексійовича,Олексійович
Павленка,павленка
давайте,давати
привітаємо,привітай
з,з
днем,день
народження,народження
вітаємо,віта
Юрію,Юрій
Олексійовичу,олексійович
добра,добрий
і,і
здоро,здоро
в’я,в’я
Тараса,Тарас
Тимофійовича,Тимофійович
Пастуха,пастуха
Тарасе,тарасе
вітаю,вітати
щиро,щиро
Павла,Павло
Васильовича,Васильович
Пинзеника,пинзеник
вітаємо,віта
з,з
днем,день
народження,народження
Павле,Павло
Васильовичу,васильович
Олександра,Олександр
Юрійовича,Юрійович
Третьякова,третьяков
давайте,давати
привітаємо,привітай
Олександра,Олександр
Юрійовича,Юрійович
Миколу,микол
Тро,тро
химовича,химовича
Федорука,федорука
Миколо,миколо
Трохимовичу,Трохимович
вітаємо,віта
щиро,щиро
—,—
—,—
—,—
—,—
—,—
—,—
—,—
—,—
—,—
—,—
—,—
—,—
Шановні,шановний
колеги,колега
ми,ми
погоджували,погоджували
з,з
вами,ви
тематику,тематика
“,“
години,година
запитань,запитання
до,до
Уряду,уряд
”,”
Це,це
питання,питання
щодо,щодо
тарифоутворення,тарифоутворення
й,й
енер,енер
гетики,гетики
питання,питання
пов’язані,пов’язаний
із,із
соціальним,соціальний
захистом,захист
субсидіями,субсидія
тобто,тобто
питання,питання
соціальної,соціальний
політики,політика
Відповідно,відповідно
до,до
цього,цей
рішення,рішення
4,4
сьогодні,сьогодні
від,від
уряду,уряд
буде,бути
виступати,виступати
заступник,заступник
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
Олександр,Олександр
Светелік,светелік
а,а
також,також
міністр,міністр
соціальної,соціальний
політики,політика
України,Україна
Павло,Павло
Розенко,Розенко
Пропозиція,пропозиція
така,такий
Ми,ми
виді,виді
лимо,лимо
по,по
15,15
хвилин,хвилина
доповідачам,доповідач
решта,решта
часу,час
—,—
запитання,запитання
народних,народний
депутатів,депутат
і,і
відповіді,відповідь
на,на
них,вони
Якщо,якщо
доповідачі,доповідач
раніше,раніше
завершать,завершать
свої,свій
виступи,виступ
тоді,тоді
на,на
запи,запи
тання,тання
буде,бути
більше,більше
часу,час
Домовились,домовились
ГОЛОС,голос
ІЗ,ІЗ
ЗАЛУ,залу
Що,що
відбувається,відбуватися
в,в
“,“
Укртранснафті,укртранснафтя
”,”
Да,да
вайте,вайте
з,з
цьог,це
о,о
почнемо,почнемо
Чому,чому
ви,ви
робите,робите
вигляд,вигляд
що,що
нічого,ніщо
не,не
сталося,статися
Де,де
Прем’єр,прем’єрний
міністр,міністр
Де,де
міністр,міністр
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
запрошую,запрошуй
до,до
виступу,виступ
заступ,заступ
ника,ника
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
Олександра,Олександр
Светеліка,светеліка
СВЕТЕЛІК,светелік
О,О.
Д,Д.
заступник,заступник
міністра,міністр
енерг,енерг
етики,етика
та,та
вугільної,вугільна
промисловості,промисловість
України,Україна
Шанов,шанов
ні,ні
народні,народний
депутати,депутат
Демчишин,демчишин
у,у
Брюсселі,брюссель
веде,вести
перемовини,перемовини
з,з
питань,питання
газу,газ
ви,ви
знаєте,знати
Моя,мій
доповідь,доповідь
базується,базується
на,на
запитаннях,запитання
від,від
депутатських,депутатський
фракцій,фракція
які,який
надійшли,надійшли
до,до
міністерства,міністерство
Всього,все
надійшло,надійшло
32,32
запи-,запи-
тання,тання
в,в
они,они
об’ємні,об’ємня
стосуються,стосуватися
практично,практично
всіх,весь
галузей,галузь
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
Я,я
спробую,спробуя
компактно,компактно
відповісти,відповісти
на,на
них,вони
зважаючи,зважати
на,на
брак,брак
часу,час
Запитання,запитання
стосовно,стосовно
діяльності,діяльність
та,та
розвитку,розвиток
концерну,концерн
“,“
Укрторф,укрторф
”,”
Відповідно,відповідно
до,до
статуту,статут
Державного,державний
концерну,концерн
“,“
Укрторф,укрторф
”,”
за-,за-
твердженого,тверджений
постановою,постанова
Кабінету,кабінет
Міністрів,міністр
України,Україна
учасниками,учасник
концерну,концерн
є,бути
дев’ять,дев’ять
державних,державний
підприємств,підприємство
Загальна,загальний
чисель,чисель
ність,ність
працівників,працівник
становить,становити
970,970
чоловік,чоловік
У,у
2014,2014
році,рік
державними,державний
підприємствами,підприємство
—,—
учасниками,учасник
концерну,концерн
видобуто,видобуто
417,417
тисяч,тисяча
тонн,тонн
торфу,торфа
у,у
тому,тому
числі,число
фрезерно,фрезерно
паливного,паливного
та,та
сільськогосподарського,сільськогосподарський
виготовлено,виготовити
171,171
тисячу,тисяча
тонн,тонн
брикетів,брикет
та,та
напівбрикетів,напівбрикет
5,5
Міненерговугілля,міненерговугілля
здійснює,здійснювати
заходи,захід
стосовно,стосовно
розробки,розробки
та,та
втілення,втілення
в,в
найкоротші,найкоротшя
терміни,термін
регіональних,регіональний
програм,програма
з,з
розвитку,розвиток
торфодобувних,торфодобувний
