Вівторок,вівторок
Привітання,привітання
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
з,з
Днем,день
Збройних,збройний
Сил,сила
України,Україна
3,3
Виступи,виступ
уповноважених,уповноважений
представників,представник
від,від
депутатських,депутатський
фракцій,фракція
і,і
груп,група
4,4
Прийняття,прийняття
Постанови,постанова
Про,про
внесе,внесе
ння,ння
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Верховної,верховний
Ради,рада
України,Україна
Про,про
додаткові,додатковий
заходи,захід
щодо,щодо
зміцнення,зміцнення
обороноздатності,обороноздатність
та,та
безпеки,безпека
держави,держава
16,16
Прийняття,прийняття
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
удосконалення,удосконалення
порядку,порядок
проходж,проходж
ення,ення
військової,військовий
служби,служба
23,23
Прийняття,прийняття
рішення,рішення
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
проекту,проект
Закону,закон
Про,про
Єдиний,єдиний
державний,державний
реєстр,реєстр
військовозобов’язаних,військовозобов’язаний
32,32
Включення,включення
проектів,проект
законів,закон
до,до
порядку,порядок
денного,денний
сесії,сесія
39,39
Відхилення,відхилення
проект,проект
ів,ів
закон,закон
ів,ів
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
умов,умова
зміни,зміна
меж,межа
районів,район
у,у
процесі,процес
добровільного,добровільний
об’єднання,об’єднання
територіальних,територіальний
громад,громада
45,45
Про,про
внесення,внесення
зміни,зміна
до,до
підрозділу,підрозділ
2,2
розділу,розділ
ХХ,хх
Податкового,податкове
кодексу,кодекс
України,Україна
щодо,щодо
постачання,постачання
на,на
митну,митн
територію,територія
України,Україна
матеріалів,матеріал
тканин,тканин
для,для
виготовлення,виготовлення
спеціальних,спеціальний
засобів,засіб
індивідуального,індивідуальний
захисту,захист
65,65
2,2
Оголошення,оголошення
про,про
вихід,вихід
із,із
депутатської,депутатська
групи,група
Воля,воля
народу,народ
народного,народний
депутата,депутат
Развадовського,развадовський
В,в
Й,й
74,74
Заяви,заява
народних,народний
депутатів,депутат
України,Україна
щодо,щодо
голосування,голосування
