Четвер,четвер
22,22
листопада,листопад
2018,2018
року,рік
Інформація,інформація
про,про
зміни,зміна
у,у
складі,склад
депутатських,депутатський
фракцій,фракція
і,і
груп,група
4,4
створення,створення
міжфракційного,міжфракційний
депутатського,депутатський
об’єднання,об’єднання
Опозиційн,опозиційн
а,а
платформа,платформа
За,за
життя,життя
4,4
Внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
спрощення,спрощення
досудового,досудове
розслідування,розслідування
окремих,окремий
категорій,категори
кримінальних,кримінальний
правопорушень,правопорушень
5,5
деяких,деякий
законодавчих,законодавчий
актів,акт
щодо,щодо
відновлення,відновлення
діяльності,діяльність
Державного,державний
акціонерно,акціонерно
го,го
товариства,товариство
Чорноморнафтогаз,чорноморнафтогаз
21,21
додатк,додатк
а,а
№,№
3,3
до,до
Закону,закон
України,Україна
Про,про
Державний,державний
бюджет,бюджет
України,Україна
на,на
2018,2018
рік,рік
29,29
Прийняття,прийняття
рішення,рішення
про,про
продовження,продовження
вечірнь,вечірнь
ого,о_о
пленарного,пленарний
засідання,засідання
до,до
завершення,завершення
розгляду,розгляд
питань,питання
порядку,порядок
денного,денний
13,13
32,32
Заява,заява
фракції,фракція
Радикальної,радикальна
партії,партія
Олега,олега
Ляшка,ляшко
13,13
Відхилення,відхилення
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
додатку,додаток
№,№
3,3
до,до
Закону,закон
України,Україна
Про,про
Державний,державний
бюджет,бюджет
України,Україна
на,на
2018,2018
рік,рік
15,15
2,2
Прийняття,прийняття
рішення,рішення
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законів,закон
України,Україна
у,у
зв’язку,зв’язок
з,з
набранням,набрання
чинності,чинність
Законом,закон
України,Україна
Про,про
державну,державний
підтримку,підтримка
кіне,кіне
матографії,матографія
в,в
Україні,Україна
33,33
Розгляд,розгляд
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
Бюджетного,бюджетне
кодексу,кодекс
України,Україна
40,40
Результати,результат
поіменної,поіменна
реєстрації,реєстрація
Результати,результат
поіменного,поіменний
голосування,голосування
3,3
ЗАСІДАННЯ,засідання
ТРИДЦЯТЬ,тридцять
ЧЕТВЕРТЕ,четверте
Сесійний,сесійний
зал,зал
Верховної,верховний
Ради,рада
України,Україна
22,22
листопада,листопад
2018,2018
року,рік
10,10
година,година
Веде,вести
засідання,засідання
Голова,голова
Верховної,верховний
Ради,рада
України,Україна
ПАРУБІЙ,парубій
А,а
В,в
ГОЛОВУЮЧИЙ,головуючий
Доброго,добрий
ранку,ранок
шановні,шановня
народні,народний
депутати,депутат
Прошу,прош
всіх,весь
зайти,зайти
до,до
залу,зал
і,і
підготуватис,підготуватис
я,я
до,до
реєстрації,реєстрація
Колеги,Колеги
прошу,просити
зареєструватися,зареєструватися
Прошу,прош
провести,провести
реєстрацію,реєстрація
У,у
сесійному,сесійний
залі,зал
зареєструвалися,зареєструвалися
346,346
народних,народний
депутатів,депутат
Ранкове,ранкове
пленарне,пленарне
засідання,засідання
Верховної,верховний
Ради,рада
України,Україна
оголошується,оголошується
відкритим,відкритий
Шановні,шановний
колеги,колега
сьогодні,сьогодні
ми,ми
плануємо,планувати
провести,провести
бюджетний,бюджетний
день,день
і,і
буде,бути
п,п.
равильно,равильно
якщо,якщо
в,в
залі,зал
буде,бути
по,по
розумі,розумі
