імдесят,імдесят
перше,перше
вечірнє,вечірній
Четвер,четвер
Внесення,внесення
змін,зміна
до,до
Закону,закон
України,Україна
Про,про
судоустрій,судоустрій
і,і
статус,статус
суддів,суддя
у,у
зв’язку,зв’язок
з,з
прийняттям,прийняття
Закону,закон
України,Україна
Про,про
Вищий,вищий
антикорупційний,антикорупційний
суд,суд
2,2
Обмін,обмін
думками,думка
щодо,щодо
подальшої,подальша
роботи,робота
п,п.
арламенту,арламент
17,17
24,24
Заяв,заяв
и,и
фракці,фракк
й,й
і,і
груп,група
Радикальної,радикальна
партії,партія
Олега,олега
Ляшка,ляшко
та,та
Батьківщина,батьківщина
22,22
Блок,блок
Петр,петр
а,а
Порошенка,Порошенко
і,і
Воля,воля
народу,народ
23,23
Результати,результат
поіменної,поіменна
реєстрації,реєстрація
Результати,результат
поіменного,поіменний
голосування,голосування
2,2
ЗАСІДАННЯ,засідання
СІМДЕСЯТ,сімдеся
ПЕРШЕ,перще
Сесійний,сесійний
зал,зал
Верховної,верховний
Ради,рада
України,Україна
12,12
липня,липень
2018,2018
року,рік
16,16
година,година
Веде,вести
засідання,засідання
Голова,голова
Вер,Вер
ховної,ховна
Ради,рада
України,Україна
ПАРУБІЙ,парубій
А,а
В,в
ГОЛОВУЮЧИЙ,головуючий
Колеги,Колеги
прошу,просити
заходити,заходити
до,до
залу,зал
і,і
приготува,приготува
тися,тися
до,до
реєстрації,реєстрація
Готові,готові
так,так
Увімкніть,увімкніть
систему,система
Рада,рада
У,у
сесійному,сесійний
залі,зал
зареєструвалися,зареєструвалися
359,359
народних,народний
депутатів,депутат
Вечірнє,вечірнє
засідання,засідання
Верховної,верховний
Ради,рада
України,Україна
оголошуєт,оголошуєт
ься,ься
відкритим,відкритий
Колеги,Колеги
хочу,хотіти
вас,ви
поінформувати,поінформувати
що,що
під,під
час,час
перерви,перерва
відбулося,відбутися
засідання,засідання
робочої,робоча
наради,наради
на,на
якому,який
як,як
повідомив,повідомити
мені,я
Алєксєєв,алєксєєв
Сергій,Сергій
Олегович,олегович
були,бути
узгоджені,узгоджень
компромісні,компромісня
пропозиції,пропозиція
щодо,щодо
кінце,кінце
вого,він
голосування,голосування
за,за
законопроект,законопроект
Я,я
так,так
розумію,розуміти
бу,бу
де,де
запропоновано,запропоновано
повернутися,повернутися
до,до
розгляду,розгляд
ряду,ряд
поправок,поправок
Але,але
для,для
того,те
щоб,щоб
ми,ми
мог,мог
ли,ли
мати,мати
результативне,результативне
голосування,голосування
Алєксєєв,алєксєєв
Сергій,Сергій
Олегович,олегович
дуже,дуже
предметно,предметно
має,мати
роз’яснити,роз’яснити
народним,народна
депутатам,депутат
предмет,предмет
і,і
суть,суть
голо,голо
сування,сування
Також,також
дуже,дуже
важливо,важливо
щоб,щоб
усі,увесь
були,бути
в,в
з,з
алі,але
і,і
готові,готовий
до,до
голосування,голосування
Переконаний,переконаний
прийняття,прийняття
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
Закону,закон
України,Україна
Про,про
судоустрій,судоустрій
і,і
статус,статус
суддів,суддя
у,у
зв’язку,зв’язок
з,з
прий,прий
няттям,няття
Закону,закон
України,Україна
Про,про
Вищий,вищий
антикорупційний,антикорупційний
суд,суд
№,№
7441,7441
є,бути
найважливішим,найважливіш
рішенням,рішення
сьогодні,сьогодні
Дуже,дуже
важливо,важливо
узгодити,узгодити
позиції,позиція
і,і
вийти,вийти
на,на
об’єднуюче,об’єднуюче
рішення,рішення
Тому,тому
дуже,дуже
прошу,просити
уваги,увага
і,і
високої,висока
дисципліни,дисципліна
в,в
залі,зал
Зараз,зараз
я,я
надаю,нада
5,5
хвилин,хвилина
заступнику,заступник
голови,голова
Комітету,комітет
з,з
питань,питання
правової,правова
полі,поле
тики,тики
та,та
правосуддя,правосуддя
Алєксєєву,алєксєєва
Сергію,сергія
Олеговичу,олегович
для,для
до,до
повіді,повіді
потім,потім
ми,ми
порадимося,порадимося
можливо,можливо
обміняємося,обмінятьося
думками,думка
і,і
пере,пере
йдемо,йдемо
до,до
голосування,голосування
а,а
можливо,можливо
відразу,відразу
перейдемо,перейдема
до,до
голосування,голосування
Будь,бути
ласка,ласка
Сергію,сергія
Олеговичу,олегович
вам,ви
слово,слово
Прошу,прош
дуже,дуже
предмет,предмет
но,но
зробити,зробити
роз’яснення,роз’яснення
3,3
АЛЄКСЄЄВ,алєксєєв
С,С.
О,О.
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
правової,правова
політики,політика
та,та
правосуддя,правосуддя
загально,загально
державний,державний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
партія,партія
Блок,блок
Петра,петра
Порошенка,Порошенко
Дякую,дякувати
вам,ви
шановний,шановний
пане,пане
Голово,голово
Шановні,шановний
колеги,колега
Про,про
тягом,тяг
двох,два
годин,година
ми,ми
розглядали,розглядали
поправки,поправки
до,до
одного,один
із,із
найважливіших,найважливіші
законопроектів,законопроект
Сьогодні,сьогодні
фактично,фактично
останній,останній
результативний,результативний
пленарний,пленарний
день,день
сесії,сесія
який,який
як,як
я,я
вже,вже
сказав,сказати
є,бути
завершальним,завершальний
для,для
створення,створення
антикорупційного,антикорупційне
суду,суд
Дуже,дуже
важливо,важливо
щоб,щоб
норми,норма
цього,цей
за,за
конопроекту,конопроект
відповідали,відповідали
всім,весь
найкращим,найкращий
стандар,стандар
там,там
правосуддя,правосуддя
баченню,бачення
наших,наш
іноземних,іноземний
партнерів,партнер
на,на
чому,чому
ми,ми
не,не
одноразово,одноразово
наголошували,наголошували
Під,під
час,час
розгляду,розгляд
законопроекту,законопроект
на,на
підтвердження,підтвердження
було,бути
постав,постав
лено,лено
цілу,цілий
низку,низка
врахованих,врахований
поправок,поправок
але,але
їх,вони
врахування,врахування
не,не
б,б
уло,уло
підтверджено,підтверджено
залом,зало
Під,під
час,час
наради,наради
яка,який
проходила,проходила
з,з
14,14
00,00
до,до
16,16
00,00
члени,член
комітету,комітет
разом,разом
з,з
представниками,представник
фракцій,фракція
погодили,погодили
пропозицію,пропозиція
про,про
повернення,повернення
до,до
голосування,голосування
майже,майже
всіх,весь
поправок,поправок
окрім,окрім
поправок,поправок
які,який
стосуються,стосуватися
порядку,порядок
автоматичного,автоматичний
перерозподілу,перерозподіл
справ,справа
якщо,якщо
юридична,юридична
особа,особа
суд,суд
а,а
судове,судове
приміщення,приміщення
знаходиться,знаходитися
на,на
великій,великий
відстані,відстань
це,це
може,могти
бути,бути
міжрайонний,міжрайонний
суд,суд
Ми,ми
їх,вони
не,не
будемо,бути
повертати,повертати
щоб,щоб
не,не
створювати,створювати
незручності,незручність
громадянам,громадянин
щоб,щоб
вони,вони
не,не
їздили,їздити
до,до
суду,суд
за,за
100,100
120,120
кілометрів,кілометр
Тобто,тобто
найголовніше,найголовніше
це,це
поправки,поправки
які,який
стосуються,стосуватися
підвідомчості,підвідомчості
Вищого,вище
антикорупційного,антикорупційне
суду,суд
Є,бути
лист,лист
Міжнародного,міжнародний
валютного,валютний
фонду,фонд
відповідно,відповідно
до,до
якого,який
було,бути
запропоновано,запропоновано
повернутися,повернутися
до,до
редакції,редакція
першого,перший
читання,читання
прези,преза
дентського,дентський
законопроекту,законопроект
Поправка,поправка
168,168
Її,її
wording,wording
формулюв,формуля
ання,ання
відповідає,відповідати
тому,тому
чого,що
вимагає,вимагати
Міжнародний,міжнародний
валютний,валютний
фонд,фонд
Поправка,поправка
160,160
Пропонується,пропонується
внести,внести
зміни,зміна
до,до
розділу,розділ
Прикінце,прикінце
ві,ві
положення,положення
щодо,щодо
набрання,набрання
чинності,чинність
цим,цей
законом,закон
Поправка,поправка
має,мати
більш,більш
технічний,технічний
характер,характер
Я,я
бачу,бачити
депутати,депутат
вже,вже
збираються,збираються
в,в
залі,зал
і,і
я,я
прошу,просити
Голову,голова
Верховної,верховний
Ради,рада
поставити,поставити
ці,цей
поправки,поправки
на,на
підтвердження,підтвердження
а,а
потім,потім
продовжимо,продовжимо
розгляд,розгляд
цього,цей
законопроекту,законопроект
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Сергію,сергія
Олеговичу,олегович
прошу,просити
вас,ви
виразно,виразно
під,під
стенограму,стенограм
повторити,повторити
до,до
яких,який
поправок,поправок
ви,ви
пропонуєте,пропонуєте
повернутися,повернутися
4,4
АЛЄКСЄЄВ,алєксєєв
С,С.
О,О.
Я,я
пропоную,пропонувати
повернутися,повернутися
до,до
поправок,поправок
які,який
були,бути
враховані,врахований
комітетом,комітет
а,а
саме,саме
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
57,57
59,59
60,60
176,176
177,177
178,178
181,181
182,182
183,183
186,186
188,188
191,191
194,194
195,195
197,197
198,198
199,199
200,200
Прошу,прош
підтвердити,підтвердити
їх,вони
врахування,врахування
ГОЛОВУЮЧИЙ,головуючий
Які,який
поп,поп
равки,равка
ви,ви
пропонуєте,пропонуєте
поставити,поставити
на,на
голосування,голосування
АЛЄКСЄЄВ,алєксєєв
С,С.
О,О.
Усі,увесь
які,який
назвав,назвати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Колеги,Колеги
зрозуміла,зрозуміти
позиція,позиція
комітету,комітет
Прошу,прош
депутатів,депутат
заходити,заходити
до,до
залу,зал
і,і
займати,займат
робочі,робоча
місця,місце
Прошу,прош
голів,голова
фракцій,фракція
